A,B,C,D,E,F
12,31.34,27,550.14,-28.8784,-64.8617
16,43.46,26,531.24,-28.3156,-20.5725
3,4.17,10,227.46,-67.9731,-31.6963
19,52.07,33,664.36,-27.4964,-24.7578
1,-1.99,36,720.97,-19.2252,-5.51274
16,43.49,18,379.12,25.7798,55.2848
16,43.26,29,588.39,31.7152,19.0564
5,10.49,19,398.24,62.9488,50.9749
9,22.49,6,151.31,68.2496,19.5702
11,28.02,25,511.97,-89.2708,-32.4919
1,-1.5,29,588.48,27.7913,3.41234
11,28.33,32,645.3,56.1085,54.1833
39,112.12,13,284.15,64.7219,35.8759
14,37.4,18,378.98,-48.0631,-13.7819
2,1.18,26,531.17,-15.2385,-35.8997
37,106.51,5,132.24,14.9762,43.4938
1,-1.74,22,455.3,22.2566,35.618
34,97.11,8,189.44,48.864,17.785
33,94.04,38,759.48,-56.5686,-56.5685
33,94.39,22,455.28,81.4064,47
3,4.49,2,75.18,22.3695,31.9469
7,16.49,9,208.46,-35.4272,-40.7543
22,61.29,38,759.2,4.68878,11.0461
30,85.02,21,436.37,8.65136,2.48073
21,58.51,16,341.2,-28.6703,-20.0752
30,85.18,2,75.29,-45.5731,-72.9321
4,7.18,26,531.03,-20.7854,-54.1476
30,85.54,16,341.17,-67.7412,-5.92659
2,1.19,18,379.33,52.579,32.855
17,46.2,13,284.22,-74.3173,-34.6547
36,103.06,11,246.27,-25.3717,-9.23454
4,7.27,38,759.39,-21.1907,-11.2673
6,13.35,10,227.51,38.8573,31.466
15,40.49,16,341.5,25.3766,11.8333
32,91.35,34,683.54,55.1011,30.543
27,76.28,5,132.48,-5.96713,-0.62717
16,43.35,21,436.24,5.26046,10.7855
0,-4.85,27,549.99,23.4755,4.98988
36,103.48,1,56.01,-34.8569,-53.6749
14,37.05,12,265.37,-36.4661,-22.7865
5,10.42,31,626.39,15.7569,2.77837
33,94.01,23,474.11,-44.5001,-77.0762
23,64.4,5,132.39,58.4216,28.4941
11,28.3,13,284.02,-27.6174,-56.624
7,16.41,30,607.28,-23.4755,-4.98988
18,48.98,12,265.46,-15.9391,-1.39449
14,37.46,5,132.46,-88.3685,-37.5102
36,103.36,12,265.5,-4.31604,-4.16795
35,100.42,3,94.05,9.92546,1.21869
9,22.46,36,721.16,52.9769,28.1683
39,112.08,26,531,38.2522,11.6949
4,7.24,12,265.38,33.1382,14.0663
9,22.22,19,398.5,38.8096,43.1024
23,64.5,19,398.43,83.5879,40.7685
18,49,31,626.44,-22.9566,-12.2063
32,91.22,34,683.55,54.7939,70.1329
33,94.42,34,683.02,-65.4881,-49.3488
5,10.44,7,170.21,9.81123,8.52876
18,49.33,31,626.34,-64.5577,-13.7222
30,85.01,12,265.38,-40.4052,-79.2995
37,106.4,24,493.08,-43.2259,-15.7329
38,109.04,30,607.01,-67.8823,-67.8822
27,76.26,19,398.03,88.9363,27.1905
24,67.28,28,569.53,-51.5039,-85.7167
33,94.08,19,398.02,61.2035,18.7118
3,3.98,18,379.36,35.9386,27.0817
24,67.52,31,626.03,56.3816,20.5212
6,13.16,36,721.23,-8.81679,-12.1352
30,86.19,33,664.56,-14.7209,-16.3492
33,94.4,16,341.21,-31.5204,-24.6264
27,76.12,6,151.02,-43.4935,-48.3044
29,82.48,39,778.17,-81.5508,-8.57133
7,16.13,2,75,11.6065,7.82869
24,67.22,21,436.14,55.6932,5.85359
3,4.18,34,683.48,-22.306,-25.6601
24,67.02,22,455.4,68.4703,14.5538
6,13.08,20,417.14,-51.0484,-72.9045
28,79.47,7,170.39,-12.1353,-8.81677
22,61.06,18,379.12,21.1438,55.0812
7,16.19,36,721.18,-6.61863,-2.27898
8,19.27,19,398.27,-65.9926,-68.3372
39,112.08,12,265.16,-10.3366,-3.76222
10,25.46,25,512.46,-52.2854,-80.5123
2,1.35,11,245.98,-41.8773,-21.3375
27,76.09,4,113.12,-11.4681,-8.03006
29,82.11,32,645.25,59.1036,75.649
29,82.24,0,38.5,10.0655,14.9227
8,18.97,23,474.02,-89.0114,-18.9199
7,16.21,5,132.28,-14.7917,-31.7208
13,34.41,23,474.47,101.404,45.1477
12,31.46,3,94.01,-36.6064,-82.2191
33,94.08,10,227.42,43.8467,10.1228
27,76.1,9,208.07,64.3479,30.0059
37,106.55,14,303.31,-44.1763,-65.4939
4,7.52,36,721.24,-13.8418,-18.3686
16,43.46,17,360.28,-32.3282,-44.4959
34,97.27,11,246.01,-3.77355,-3.28029
13,34.19,21,436.11,-36.7393,-42.2637
16,43.5,35,702.08,54.7509,67.6117
14,37.41,3,94.47,-8.69333,-2.32937
18,48.97,9,208.45,20.8468,37.6086
7,16.55,36,721.47,78.417,23.9745
38,109.04,6,151.17,37.8266,84.9597
36,103.07,36,721.48,33.3283,86.823
8,19.44,0,37.48,-36.6064,-82.2191
12,31.25,23,474.3,-11.7378,-2.49494
20,55.45,25,512.45,-1.94059,-0.483843
12,31.34,19,398.16,46.3304,15.9528
22,61.22,14,303.27,-2.74064,-1.22021
34,97.42,7,170.03,-22.2493,-68.476
38,109.17,37,740.3,-46.287,-27.812
20,55.43,6,151.34,84.9412,13.4534
29,82.16,33,664.17,-61.3799,-65.8218
4,7.29,8,189.28,-17.6067,-3.74241
10,25.26,34,683.54,27.9523,21.0635
34,97.22,23,474.21,15.8628,35.6283
30,85.28,39,778.05,57.2082,68.1779
12,31.27,24,493.23,-47.2759,-16.2784
28,79.03,18,379.05,-43.9834,-70.388
5,10.25,34,683.16,39.5956,41.0023
14,37.41,39,778.06,-83.3803,-38.8808
10,25.27,1,56.26,20.6963,31.8695
34,96.99,24,493.28,-62.1717,-50.3456
37,106.18,1,56.05,-30.882,-2.70183
13,34.44,30,607.16,-1.94874,-0.449902
32,91.21,4,113.08,-36.5259,-29.578
